,Date,Symbol,Side,Price,Exchange,Net Gain (%)
0,01-12-2021_23-34-16.574421,ETH/USD,buy,1031.51,Coinbase Pro,0
1,01-12-2021_23-34-16.731750,ETH/USD,sell,1041.061,Bittrex,0
