Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
01-09-2021_18-58-40,BTC/USD,100,40266.28,40242.13,0.05997574148891196,-0.19002625851108804,0.250002,False,Bittrex,Binance US
01-09-2021_18-58-40,ETH/USD,100,1282.923,1280.96,0.15300996240615886,-0.5969900375938412,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-40,XRP/USD,100,0.32729,0.326,0.39414586452382083,-0.35585413547617917,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-41,BCH/USD,100,575.096,574.47,0.1088513917676312,-0.1413186082323688,0.25017,False,Bittrex,Binance US
01-09-2021_18-58-42,BTC/USD,100,40266.26,40237.14,0.07231861116478813,-0.17768338883521187,0.250002,False,Bittrex,Binance US
01-09-2021_18-58-42,ETH/USD,100,1281.968,1280.49,0.11529148933515232,-0.6347085106648477,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-42,XRP/USD,100,0.32729,0.3261,0.3635919215374818,-0.3864080784625182,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-43,BCH/USD,100,575.25,574.42,0.14428509343764293,-0.6157149065623571,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-58-43,BTC/USD,100,40266.26,40231.81,0.08555549981548911,-0.1644465001845109,0.250002,False,Bittrex,Binance US
01-09-2021_18-58-43,ETH/USD,100,1281.968,1280.9,0.08330941177938792,-0.6666905882206121,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-44,XRP/USD,100,0.32729,0.3262,0.3330379785511428,-0.4169620214488572,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-45,BCH/USD,100,575.25,574.55,0.12168622338114654,-0.37848377661885346,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-58-45,BTC/USD,100,40265.4,40236.69,0.0713019118151046,-0.18870008818489542,0.260002,False,Kraken,Binance US
01-09-2021_18-58-46,ETH/USD,100,1281.968,1281.15,0.06380814497709643,-0.4461918550229036,0.51,False,Bittrex,Kraken
01-09-2021_18-58-46,XRP/USD,100,0.32729,0.3262,0.3330379785511428,-0.4169620214488572,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-47,BCH/USD,100,575.25,574.55,0.12168622338114654,-0.37848377661885346,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-58-47,BTC/USD,100,40265.4,40243.82,0.05359440114838483,-0.2064075988516152,0.260002,False,Kraken,Binance US
01-09-2021_18-58-47,ETH/USD,100,1282.43,1281.15,0.09981051597357928,-0.2601894840264207,0.36,False,Binance US,Kraken
01-09-2021_18-58-48,XRP/USD,100,0.32729,0.32626,0.314705612759336,-0.19529435724066396,0.50999997,False,Bittrex,Kraken
01-09-2021_18-58-48,BCH/USD,100,575.25,574.55,0.12168622338114654,-0.37848377661885346,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-58-49,BTC/USD,100,40275.17,40248.69,0.06574770509968282,-0.6842522949003171,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-49,ETH/USD,100,1282.998,1281.15,0.14403763684744295,-0.36596236315255704,0.51,False,Bittrex,Kraken
01-09-2021_18-58-49,XRP/USD,100,0.32729,0.32626,0.314705612759336,-0.19529435724066396,0.50999997,False,Bittrex,Kraken
01-09-2021_18-58-49,BCH/USD,100,575.25,574.55,0.12168622338114654,-0.37848377661885346,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-58-50,BTC/USD,100,40275.17,40263.175,0.029782617925623513,-0.7192173820743765,0.749,False,Coinbase Pro,Bittrex
01-09-2021_18-58-50,ETH/USD,100,1282.998,1281.15,0.14403763684744295,-0.36596236315255704,0.51,False,Bittrex,Kraken
01-09-2021_18-58-50,XRP/USD,100,0.32729,0.32626,0.314705612759336,-0.19529435724066396,0.50999997,False,Bittrex,Kraken
01-09-2021_18-58-51,BCH/USD,100,575.093,574.54,0.09615836047387072,-0.4138416395261293,0.51,False,Bittrex,Kraken
01-09-2021_18-58-51,BTC/USD,100,40269.21,40263.07,0.015247381311923968,-0.7347526186880761,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-52,ETH/USD,100,1282.998,1281.15,0.14403763684744295,-0.36596236315255704,0.51,False,Bittrex,Kraken
01-09-2021_18-58-52,XRP/USD,100,0.32729,0.3264,0.2719300925784478,-0.4780699074215522,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-53,BCH/USD,100,575.093,574.46,0.11006915403246512,-0.1401008459675349,0.25017,False,Bittrex,Binance US
01-09-2021_18-58-53,BTC/USD,100,40270.58,40262.974,0.018887237283395884,-0.7311127627166041,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-53,ETH/USD,100,1282.998,1281.15,0.14403763684744295,-0.36596236315255704,0.51,False,Bittrex,Kraken
01-09-2021_18-58-54,XRP/USD,100,0.32729,0.3264,0.2719300925784478,-0.4780699074215522,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-58-54,BCH/USD,100,574.975,574.46,0.08956911170050634,-0.15960088829949365,0.24917,False,Bittrex,Binance US
01-09-2021_18-58-54,BTC/USD,100,40270.58,40262.974,0.018887237283395884,-0.7311127627166041,0.75,False,Coinbase Pro,Bittrex
01-09-2021_18-58-55,ETH/USD,100,1282.315,1281.15,0.0908513118851424,-0.4191486881148576,0.51,False,Bittrex,Kraken
