,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
883,01-14-2021_03-32-56,XLM/USD,25.0,0.29597835,0.294126,0.15645992350454033,-0.02604007649545967,0.1825,False,Bittrex,Coinbase Pro
884,01-14-2021_03-33-08,XLM/USD,25.0,0.29597826,0.294079,0.16042225533726814,0.03292225533726814,0.1275,True,Bittrex,Kraken
885,01-14-2021_03-33-20,XLM/USD,25.0,0.29597794,0.294378,0.13514013916037307,0.007640139160373066,0.1275,False,Bittrex,Kraken
886,01-14-2021_03-33-42,XLM/USD,25.0,0.29597775,0.294378,0.1351241774086068,0.007624177408606797,0.1275,False,Bittrex,Kraken
887,01-14-2021_03-33-53,XLM/USD,25.0,0.2959776,0.294378,0.1351115760111605,0.007611576011160498,0.1275,False,Bittrex,Kraken
888,01-14-2021_03-34-03,XLM/USD,25.0,0.29597729,0.294404,0.13288941864424844,0.005389428644248434,0.12749999,False,Bittrex,Kraken
889,01-14-2021_03-34-16,XLM/USD,25.0,0.29597705,0.294586,0.11749644102473525,-0.010003558975264754,0.1275,False,Bittrex,Kraken
890,01-14-2021_03-34-38,XLM/USD,25.0,0.29597652,0.294604,0.11593149348468956,-0.01156850651531044,0.1275,False,Bittrex,Kraken
891,01-14-2021_03-34-50,XLM/USD,25.0,0.29597645,0.294616,0.11491201411463758,-0.012587975885362424,0.12749999,False,Bittrex,Kraken
892,01-14-2021_03-35-04,XLM/USD,25.0,0.29597618,0.294498,0.12485633134396117,-0.002643668656038836,0.1275,False,Bittrex,Kraken
893,01-14-2021_03-35-15,XLM/USD,25.0,0.29597599,0.294284,0.1429161534352864,0.015416153435286406,0.1275,True,Bittrex,Kraken
894,01-14-2021_03-35-26,XLM/USD,25.0,0.2959759,0.294351,0.13724935036940847,0.009749350369408466,0.1275,True,Bittrex,Kraken
895,01-14-2021_03-35-39,XLM/USD,25.0,0.29597578,0.294321,0.1397732611769806,0.012273261176980604,0.1275,True,Bittrex,Kraken
896,01-14-2021_03-36-02,XLM/USD,25.0,0.29597536,0.294351,0.1372039888725912,0.00970398887259119,0.1275,True,Bittrex,Kraken
897,01-14-2021_03-36-14,XLM/USD,25.0,0.29597518,0.294351,0.13718886833686786,0.009688868336867856,0.1275,True,Bittrex,Kraken
898,01-14-2021_03-36-25,XLM/USD,25.0,0.29597512,0.294467,0.12738570728512602,-0.055114292714873975,0.1825,False,Bittrex,Coinbase Pro
899,01-14-2021_03-36-38,XLM/USD,25.0,0.29597486,0.2945,0.12457645896006356,-0.05792354103993644,0.1825,False,Bittrex,Coinbase Pro
900,01-14-2021_03-36-48,XLM/USD,25.0,0.29597421,0.294451,0.12866070324167744,-0.05383929675832255,0.1825,False,Bittrex,Coinbase Pro
901,01-14-2021_03-37-00,XLM/USD,25.0,0.29597375,0.294499,0.12456763479869154,-0.06793236520130846,0.1925,False,Bittrex,Coinbase Pro
902,01-14-2021_03-37-12,XLM/USD,25.0,0.29597301,0.2945,0.12442097338537701,-0.05807902661462298,0.1825,False,Bittrex,Coinbase Pro
