,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
763,01-13-2021_21-32-54,DASH/USD,25.0,133.66,133.438,0.041523267993417705,-0.11847673200658229,0.16,False,Binance US,Coinbase Pro
764,01-13-2021_21-33-05,DASH/USD,25.0,133.65,133.438,0.03965581743359848,-0.11034418256640152,0.15,False,Binance US,Coinbase Pro
765,01-13-2021_21-33-16,DASH/USD,25.0,133.83224509,133.613,0.04095520661940406,-0.14154479338059595,0.1825,False,Bittrex,Coinbase Pro
766,01-13-2021_21-33-27,DASH/USD,25.0,133.83224502,133.578,0.04749322929649545,-0.13500677070350453,0.1825,False,Bittrex,Coinbase Pro
767,01-13-2021_21-33-38,DASH/USD,25.0,133.78,133.577,0.0379354163552106,-0.1120645836447894,0.15,False,Binance US,Coinbase Pro
768,01-13-2021_21-33-49,DASH/USD,25.0,133.735,133.553,0.03402250719707189,-0.1509774928029281,0.185,False,Kraken,Coinbase Pro
769,01-13-2021_21-34-00,DASH/USD,25.0,133.697,133.5,0.03683702700883392,-0.14816297299116607,0.185,False,Kraken,Coinbase Pro
770,01-13-2021_21-34-12,DASH/USD,25.0,133.683,133.532,0.02823844467882641,-0.15676155532117358,0.185,False,Kraken,Coinbase Pro
771,01-13-2021_21-34-21,DASH/USD,25.0,133.735,133.595,0.0261711593823634,-0.1588288406176366,0.185,False,Kraken,Coinbase Pro
772,01-13-2021_21-34-34,DASH/USD,25.0,133.80634359,133.612,0.0363106084483391,-0.14618939155166089,0.1825,False,Bittrex,Coinbase Pro
773,01-13-2021_21-34-44,DASH/USD,25.0,133.794,133.613,0.03382064965544262,-0.15117935034455737,0.185,False,Kraken,Coinbase Pro
774,01-13-2021_21-34-54,DASH/USD,25.0,133.843,133.613,0.04296078240923877,-0.1420392175907612,0.185,False,Kraken,Coinbase Pro
775,01-13-2021_21-35-05,DASH/USD,25.0,133.842,133.613,0.04277431598452156,-0.14222568401547844,0.185,False,Kraken,Coinbase Pro
776,01-13-2021_21-35-15,DASH/USD,25.0,133.843,133.613,0.04296078240923877,-0.1420392175907612,0.185,False,Kraken,Coinbase Pro
777,01-13-2021_21-35-26,DASH/USD,25.0,133.843,133.613,0.04296078240923877,-0.1420392175907612,0.185,False,Kraken,Coinbase Pro
778,01-13-2021_21-35-37,DASH/USD,25.0,133.843,133.67,0.03231397981216833,-0.032876020187831666,0.06519,False,Kraken,Binance US
779,01-13-2021_21-35-48,DASH/USD,25.0,133.843,133.67,0.03231397981216833,-0.032876020187831666,0.06519,False,Kraken,Binance US
780,01-13-2021_21-35-59,DASH/USD,25.0,133.843,133.67,0.03231397981216833,-0.032876020187831666,0.06519,False,Kraken,Binance US
781,01-13-2021_21-36-10,DASH/USD,25.0,133.838,133.67,0.031381222074449405,-0.03380877792555059,0.06519,False,Kraken,Binance US
782,01-13-2021_21-36-20,DASH/USD,25.0,133.838,133.67,0.031381222074449405,-0.03380877792555059,0.06519,False,Kraken,Binance US
783,01-13-2021_21-36-30,DASH/USD,25.0,133.838,133.67,0.031381222074449405,-0.03380877792555059,0.06519,False,Kraken,Binance US
784,01-13-2021_21-36-40,DASH/USD,25.0,133.838,133.635,0.037918976673292144,-0.14708102332670786,0.185,False,Kraken,Coinbase Pro
785,01-13-2021_21-36-52,DASH/USD,25.0,133.816,133.644,0.03213367609254444,-0.15286632390745555,0.185,False,Kraken,Coinbase Pro
786,01-13-2021_21-37-02,DASH/USD,25.0,133.838,133.651,0.034930288856674374,-0.15006971114332562,0.185,False,Kraken,Coinbase Pro
787,01-13-2021_21-37-12,DASH/USD,25.0,133.81,133.651,0.02970629997757862,-0.15529370002242138,0.185,False,Kraken,Coinbase Pro
788,01-13-2021_21-37-22,DASH/USD,25.0,133.791,133.633,0.029523660036920838,-0.15547633996307916,0.185,False,Kraken,Coinbase Pro
789,01-13-2021_21-37-34,DASH/USD,25.0,133.807,133.64,0.031201656116645916,-0.1537983438833541,0.185,False,Kraken,Coinbase Pro
790,01-13-2021_21-37-44,DASH/USD,25.0,133.787,133.57,0.04054953022341725,-0.14445046977658274,0.185,False,Kraken,Coinbase Pro
791,01-13-2021_21-37-55,DASH/USD,25.0,133.765,133.608,0.02934250364444778,-0.1556574963555522,0.185,False,Kraken,Coinbase Pro
792,01-13-2021_21-38-07,DASH/USD,25.0,133.729,133.586,0.0267331693200429,-0.1582668306799571,0.185,False,Kraken,Coinbase Pro
793,01-13-2021_21-38-18,DASH/USD,25.0,133.773,133.586,0.034947261405512214,-0.15005273859448778,0.185,False,Kraken,Coinbase Pro
794,01-13-2021_21-38-29,DASH/USD,25.0,133.738,133.586,0.028413764225572916,-0.1565862357744271,0.185,False,Kraken,Coinbase Pro
795,01-13-2021_21-38-41,DASH/USD,25.0,133.697,133.494,0.03795896691773244,-0.14704103308226757,0.185,False,Kraken,Coinbase Pro
796,01-13-2021_21-38-52,DASH/USD,25.0,133.571,133.281,0.054278249021118365,-0.13072175097888164,0.185,False,Kraken,Coinbase Pro
797,01-13-2021_21-39-04,DASH/USD,25.0,133.55,133.384,0.031074503931116666,-0.11892549606888334,0.15,False,Binance US,Coinbase Pro
798,01-13-2021_21-39-15,DASH/USD,25.0,133.511,133.344,0.031270831616870824,-0.15372916838312917,0.185,False,Kraken,Coinbase Pro
799,01-13-2021_21-39-26,DASH/USD,25.0,133.63685401,133.474,0.030465774431473757,-0.15203422556852625,0.1825,False,Bittrex,Coinbase Pro
800,01-13-2021_21-39-37,DASH/USD,25.0,133.63685391,133.433,0.03813579563488332,-0.14436420436511668,0.1825,False,Bittrex,Coinbase Pro
801,01-13-2021_21-39-47,DASH/USD,25.0,133.63685382,133.518,0.02223447660629725,-0.16026552339370276,0.1825,False,Bittrex,Coinbase Pro
802,01-13-2021_21-39-58,DASH/USD,25.0,133.681,133.545,0.02543368167503686,-0.15956631832496315,0.185,False,Kraken,Coinbase Pro
803,01-13-2021_21-40-09,DASH/USD,25.0,133.746,133.55,0.03663660969299978,-0.028553390307000215,0.06519,False,Kraken,Binance US
804,01-13-2021_21-40-19,DASH/USD,25.0,133.752,133.587,0.030840660326578378,-0.15415933967342163,0.185,False,Kraken,Coinbase Pro
805,01-13-2021_21-40-31,DASH/USD,25.0,133.752,133.67,0.015326873616847234,-0.04986312638315277,0.06519,False,Kraken,Binance US
806,01-13-2021_21-40-41,DASH/USD,25.0,133.82613721,133.67,0.02916792138949191,-0.033522078610508085,0.06269,False,Bittrex,Binance US
807,01-13-2021_21-40-51,DASH/USD,25.0,133.82613717,133.67,0.02916791392582759,-0.03352208607417241,0.06269,False,Bittrex,Binance US
808,01-13-2021_21-41-02,DASH/USD,25.0,133.82613717,133.67,0.02916791392582759,-0.03352208607417241,0.06269,False,Bittrex,Binance US
809,01-13-2021_21-41-13,DASH/USD,25.0,133.82613717,133.67,0.02916791392582759,-0.03352208607417241,0.06269,False,Bittrex,Binance US
810,01-13-2021_21-41-26,DASH/USD,25.0,133.82613715,133.67,0.02916791019399277,-0.033522089806007224,0.06269,False,Bittrex,Binance US
811,01-13-2021_21-41-36,DASH/USD,25.0,133.75483801,133.63,0.023333363461338363,-0.15916663653866164,0.1825,False,Bittrex,Coinbase Pro
812,01-13-2021_21-41-46,DASH/USD,25.0,133.75483793,133.662,0.017352256456059565,-0.16514774354394043,0.1825,False,Bittrex,Coinbase Pro
813,01-13-2021_21-41-57,DASH/USD,25.0,133.752,133.581,0.031962138883908406,-0.15303786111609158,0.185,False,Kraken,Coinbase Pro
814,01-13-2021_21-42-10,DASH/USD,25.0,133.752,133.592,0.029906094862132263,-0.15509390513786775,0.185,False,Kraken,Coinbase Pro
815,01-13-2021_21-42-20,DASH/USD,25.0,133.721,133.437,0.05309562447184657,-0.13190437552815343,0.185,False,Kraken,Coinbase Pro
816,01-13-2021_21-42-32,DASH/USD,25.0,133.637,133.344,0.05481266415738276,-0.13018733584261724,0.185,False,Kraken,Coinbase Pro
817,01-13-2021_21-42-43,DASH/USD,25.0,133.529,133.191,0.0632821334691329,-0.1217178665308671,0.185,False,Kraken,Coinbase Pro
818,01-13-2021_21-42-55,DASH/USD,25.0,133.4,133.264,0.02548725637181328,-0.1245127436281867,0.15,False,Binance US,Coinbase Pro
819,01-13-2021_21-43-07,DASH/USD,25.0,133.41,133.19,0.041226294880443534,-0.10877370511955646,0.15,False,Binance US,Coinbase Pro
820,01-13-2021_21-43-18,DASH/USD,25.0,133.35173904,133.139,0.03988306443011394,-0.14261693556988606,0.1825,False,Bittrex,Coinbase Pro
821,01-13-2021_21-43-30,DASH/USD,25.0,133.362,133.0,0.06786041001184648,-0.11713958998815352,0.185,False,Kraken,Coinbase Pro
822,01-13-2021_21-43-41,DASH/USD,25.0,133.231,133.0,0.04334576787684446,-0.14165423212315553,0.185,False,Kraken,Coinbase Pro
823,01-13-2021_21-43-53,DASH/USD,25.0,133.188,132.992,0.03679010121031887,-0.14820989878968113,0.185,False,Kraken,Coinbase Pro
824,01-13-2021_21-44-05,DASH/USD,25.0,133.199,132.999,0.037537819353001343,-0.14746218064699865,0.185,False,Kraken,Coinbase Pro
825,01-13-2021_21-44-15,DASH/USD,25.0,133.206,132.966,0.04504301608035311,-0.1399569839196469,0.185,False,Kraken,Coinbase Pro
826,01-13-2021_21-44-25,DASH/USD,25.0,133.049,132.789,0.04885418154214224,-0.13614581845785775,0.185,False,Kraken,Coinbase Pro
827,01-13-2021_21-44-36,DASH/USD,25.0,132.954,132.778,0.03309415286490368,-0.1519058471350963,0.185,False,Kraken,Coinbase Pro
828,01-13-2021_21-44-47,DASH/USD,25.0,132.881,132.561,0.06020424289401667,-0.12479575710598333,0.185,False,Kraken,Coinbase Pro
829,01-13-2021_21-44-58,DASH/USD,25.0,132.808,132.62,0.03538943437142118,-0.14961056562857883,0.185,False,Kraken,Coinbase Pro
830,01-13-2021_21-45-09,DASH/USD,25.0,132.77613314,132.625,0.028456383015887605,-0.1540436169841124,0.1825,False,Bittrex,Coinbase Pro
831,01-13-2021_21-45-19,DASH/USD,25.0,132.83,132.618,0.03990062485884542,-0.11009937514115457,0.15,False,Binance US,Coinbase Pro
832,01-13-2021_21-45-30,DASH/USD,25.0,132.871,132.77,0.01900339426962977,-0.04618660573037023,0.06519,False,Kraken,Binance US
833,01-13-2021_21-45-41,DASH/USD,25.0,133.04,132.742,0.05599819603126913,-0.09400180396873087,0.15,False,Binance US,Coinbase Pro
834,01-13-2021_21-45-51,DASH/USD,25.0,132.871,132.74,0.02464796682496561,-0.16035203317503438,0.185,False,Kraken,Coinbase Pro
835,01-13-2021_21-46-01,DASH/USD,25.0,132.86989984,132.771,0.01860839816224276,-0.16389160183775725,0.1825,False,Bittrex,Coinbase Pro
836,01-13-2021_21-46-13,DASH/USD,25.0,133.01,132.8698998,0.026332644162088904,-0.056167355837911104,0.0825,False,Binance US,Bittrex
837,01-13-2021_21-46-24,DASH/USD,25.0,133.03,132.925,0.019732391189955227,-0.16526760881004476,0.185,False,Kraken,Coinbase Pro
838,01-13-2021_21-46-34,DASH/USD,25.0,133.202,132.935,0.050111860182278783,-0.13488813981772121,0.185,False,Kraken,Coinbase Pro
839,01-13-2021_21-46-44,DASH/USD,25.0,133.206,132.946,0.0487966007537181,-0.1362033992462819,0.185,False,Kraken,Coinbase Pro
